"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"6";"0.1";"R-US_0617/5V";"0617V";"PR1, PR2, PR3, PR4, PR5, PR6";"RESISTOR, American symbol";"";
"16";"0.1uF";"C-EU050-024X044";"C050-024X044";"C3, C5, C11, C13, C15, C18, C19, C25, C26, C27, C33, C34, C40, C41, C42, C45";"CAPACITOR, European symbol";"";
"3";"1.2k";"R-US_0204/2V";"0204V";"R3, R14, R44";"RESISTOR, American symbol";"";
"3";"10";"R-US_0309/V";"0309V";"R8, R19, R51";"RESISTOR, American symbol";"";
"15";"100uF";"CPOL-USE2.5-6";"E2,5-6";"C2, C4, C6, C12, C14, C16, C17, C23, C24, C28, C31, C32, C38, C39, C43";"POLARIZED CAPACITOR, American symbol";"";
"3";"10k";"EVM2W";"EVM2W";"VR2, VR4, VR6";"";"";
"6";"120";"R-US_0204/2V";"0204V";"R6, R7, R17, R18, R47, R48";"RESISTOR, American symbol";"";
"3";"12k";"R-US_0204/2V";"0204V";"R5, R16, R46";"RESISTOR, American symbol";"";
"1";"1984633";"1984633";"1984633";"J2";"";"";
"2";"200uF";"C-EU050-024X044";"C050-024X044";"C7, C30";"CAPACITOR, European symbol";"";
"3";"20k";"EVM2W";"EVM2W";"VR1, VR3, VR5";"";"";
"12";"22pF";"C-EU050-024X044";"C050-024X044";"C1, C8, C9, C10, C20, C21, C22, C29, C35, C36, C37, C44";"CAPACITOR, European symbol";"";
"6";"240";"R-US_0204/2V";"0204V";"R1, R11, R12, R22, R23, R55";"RESISTOR, American symbol";"";
"3";"2TERMINAL_SPEAKER";"2TERMINAL_SPEAKER";"2TERMINAL_SPEAKER";"J3, J4, J5";"";"";
"3";"4.7k";"R-US_0204/2V";"0204V";"R9, R20, R52";"RESISTOR, American symbol";"";
"1";"4_PIN_AMPCONN";"4_PIN_AMPCONN";"4_PIN_AMPCON";"J1";"";"";
"3";"500";"R-US_0204/2V";"0204V";"R4, R15, R45";"RESISTOR, American symbol";"";
"6";"6.8k";"R-US_0204/2V";"0204V";"R2, R10, R13, R21, R24, R56";"RESISTOR, American symbol";"";
"3";"LME49830";"LME49830";"NDN0015A";"U1, U2, U3";"Mono High Fidelity 200 Volt MOSFET Power Amplifier Input Stage with Mute";"";
"9";"OSTVN03A150";"OSTVN03A150";"OSTVN03A150";"J6, J7, J8, J9, J10, J11, J12, J13, J14";"";"";
